kd,p_AS_rank,p_EU_rank,p_NA_rank,p_currentmmr,p_currentrank,p_headshotacc,p_id,p_level,p_name,p_platform,p_skillrating,p_user,position,verified
163,0,20,17,5717,20,48810000,717549d2-79f7-489a-ad18-2b87fab378c7,325,Toiletti,uplay,9984,717549d2-79f7-489a-ad18-2b87fab378c7,32,0
167,0,20,0,5714,20,46830000,12015231-d166-45e7-a461-1f08376d4817,302,BBooAF.Vitality,uplay,9877,12015231-d166-45e7-a461-1f08376d4817,33,0
249,17,20,0,5693,20,52490000,41435bca-05be-4596-acf2-c3a7a840bc2c,143,gystVas.DoG,uplay,10693,41435bca-05be-4596-acf2-c3a7a840bc2c,34,0
205,0,20,18,5687,20,41380000,deebc930-3d59-4a46-a10f-19e83592a876,174,MaxStrag.D4,uplay,10370,deebc930-3d59-4a46-a10f-19e83592a876,35,0
111,0,20,0,5678,20,41310000,7c0bbacf-0bd2-4263-a7a4-8504fb60259b,171,Steinchen.LC,uplay,9680,7c0bbacf-0bd2-4263-a7a4-8504fb60259b,36,0
175,0,20,17,5675,20,46510000,727efc5f-a2e3-4763-9c57-676fcb72c93d,125,FreePointsForU,uplay,10066,727efc5f-a2e3-4763-9c57-676fcb72c93d,37,0
158,0,20,0,5673,20,42290000,999bf012-aff7-47ff-924d-4ba65d0f0a33,286,ShepparD.Empire,uplay,9859,999bf012-aff7-47ff-924d-4ba65d0f0a33,38,1
77,0,20,18,5668,20,38620000,1daca2c1-944c-4f6c-a8db-896aa65d31eb,207,CZ_Nooboy,uplay,8390,1daca2c1-944c-4f6c-a8db-896aa65d31eb,39,0
127,0,20,19,5654,20,36740000,0c91f7f7-6c53-4a06-a343-bc82e95930ba,232,LuuLuu-._,uplay,9713,0c91f7f7-6c53-4a06-a343-bc82e95930ba,40,0
152,0,20,0,5650,20,47480000,49b857eb-848d-42d4-b37e-7311f3c0f22a,355,Vitoline.Chaos,uplay,9737,49b857eb-848d-42d4-b37e-7311f3c0f22a,41,0
112,0,20,0,5611,20,52530000,c50ff9d4-8f93-43cf-a8a7-de2f8b9c62f1,297,zak4994,uplay,9123,c50ff9d4-8f93-43cf-a8a7-de2f8b9c62f1,42,0
146,0,20,0,5608,20,38390000,2f8fdc7b-5e33-4bc4-9c51-7ef5bab13227,236,Lakii..,uplay,9647,2f8fdc7b-5e33-4bc4-9c51-7ef5bab13227,43,0
163,0,20,17,5607,20,43020000,5a6d4bc6-50bb-4f8f-acef-38a10784a711,304,cryn.NaVi,uplay,9904,5a6d4bc6-50bb-4f8f-acef-38a10784a711,44,0
173,0,20,15,5591,20,44000000,a582ba0c-f318-49e7-a21e-38e3c22e86b7,215,nTW.,uplay,10399,a582ba0c-f318-49e7-a21e-38e3c22e86b7,45,0
